tile_index,jis_code,unicode,character,file_offset
141,0x3150,U+9834,頴,0x1F204
142,0x3151,U+82F1,英,0x1F244
143,0x3152,U+885B,衛,0x1F284
144,0x3153,U+8A60,詠,0x1F2C4
145,0x3154,U+92ED,鋭,0x1F304
146,0x3155,U+6DB2,液,0x1F344
147,0x3156,U+75AB,疫,0x1F384
148,0x3157,U+76CA,益,0x1F3C4
149,0x3158,U+99C5,駅,0x1F404
150,0x3159,U+60A6,悦,0x1F444
151,0x315A,U+8B01,謁,0x1F484
152,0x315B,U+8D8A,越,0x1F4C4
153,0x315C,U+95B2,閲,0x1F504
154,0x315D,U+698E,榎,0x1F544
155,0x315E,U+53AD,厭,0x1F584
156,0x315F,U+5186,円,0x1F5C4
157,0x3160,U+5712,園,0x1F604
158,0x3161,U+5830,堰,0x1F644
159,0x3162,U+5944,奄,0x1F684
160,0x3163,U+5BB4,宴,0x1F6C4
161,0x3164,U+5EF6,延,0x1F704
162,0x3165,U+6028,怨,0x1F744
163,0x3166,U+63A9,掩,0x1F784
164,0x3167,U+63F4,援,0x1F7C4
165,0x3168,U+6CBF,沿,0x1F804
166,0x3169,U+6F14,演,0x1F844
167,0x316A,U+708E,炎,0x1F884
168,0x316B,U+7114,焔,0x1F8C4
169,0x316C,U+7159,煙,0x1F904
170,0x316D,U+71D5,燕,0x1F944
171,0x316E,U+733F,猿,0x1F984
172,0x316F,U+7E01,縁,0x1F9C4
173,0x3170,U+8276,艶,0x1FA04
174,0x3171,U+82D1,苑,0x1FA44
175,0x3172,U+8597,薗,0x1FA84
176,0x3173,U+9060,遠,0x1FAC4
177,0x3174,U+925B,鉛,0x1FB04
178,0x3175,U+9D1B,鴛,0x1FB44
179,0x3176,U+5869,塩,0x1FB84
180,0x3177,U+65BC,於,0x1FBC4
181,0x3178,U+6C5A,汚,0x1FC04
182,0x3179,U+7525,甥,0x1FC44
183,0x317A,U+51F9,凹,0x1FC84
184,0x317B,U+592E,央,0x1FCC4
185,0x317C,U+5965,奥,0x1FD04
186,0x317D,U+5F80,往,0x1FD44
187,0x317E,U+5FDC,応,0x1FD84
188,0x3221,U+62BC,押,0x1FDC4
189,0x3222,U+65FA,旺,0x1FE04
190,0x3223,U+6A2A,横,0x1FE44
191,0x3224,U+6B27,欧,0x1FE84
192,0x3225,U+6BB4,殴,0x1FEC4
193,0x3226,U+738B,王,0x1FF04
194,0x3227,U+7FC1,翁,0x1FF44
195,0x3228,U+8956,襖,0x1FF84
196,0x3229,U+9D2C,鴬,0x1FFC4
197,0x322A,U+9D0E,鴎,0x20004
198,0x322B,U+9EC4,黄,0x20044
199,0x322C,U+5CA1,岡,0x20084
200,0x322D,U+6C96,沖,0x200C4
201,0x322E,U+837B,荻,0x20104
202,0x322F,U+5104,億,0x20144
203,0x3230,U+5C4B,屋,0x20184
204,0x3231,U+61B6,憶,0x201C4
205,0x3232,U+81C6,臆,0x20204
206,0x3233,U+6876,桶,0x20244
207,0x3234,U+7261,牡,0x20284
208,0x3235,U+4E59,乙,0x202C4
209,0x3236,U+4FFA,俺,0x20304
210,0x3237,U+5378,卸,0x20344
211,0x3238,U+6069,恩,0x20384
212,0x3239,U+6E29,温,0x203C4
213,0x323A,U+7A4F,穏,0x20404
214,0x323B,U+97F3,音,0x20444
215,0x323C,U+4E0B,下,0x20484
216,0x323D,U+5316,化,0x204C4
217,0x323E,U+4EEE,仮,0x20504
218,0x323F,U+4F55,何,0x20544
219,0x3240,U+4F3D,伽,0x20584
220,0x3241,U+4FA1,価,0x205C4
221,0x3242,U+4F73,佳,0x20604
222,0x3243,U+52A0,加,0x20644
223,0x3244,U+53EF,可,0x20684
224,0x3245,U+5609,嘉,0x206C4
225,0x3246,U+590F,夏,0x20704
226,0x3247,U+5AC1,嫁,0x20744
227,0x3248,U+5BB6,家,0x20784
228,0x3249,U+5BE1,寡,0x207C4
229,0x324A,U+79D1,科,0x20804
230,0x324B,U+6687,暇,0x20844
